DATE,COVID
1/22/2020,0
1/23/2020,0
1/24/2020,0
1/25/2020,0
1/26/2020,0
1/27/2020,0
1/28/2020,0
1/29/2020,0
1/30/2020,0
1/31/2020,0
2/1/2020,0
2/2/2020,0
2/3/2020,0
2/4/2020,0
2/5/2020,0
2/6/2020,0
2/7/2020,0
2/8/2020,0
2/9/2020,0
2/10/2020,0
2/11/2020,0
2/12/2020,0
2/13/2020,0
2/14/2020,0
2/15/2020,0
2/16/2020,0
2/17/2020,0
2/18/2020,0
2/19/2020,0
2/20/2020,0
2/21/2020,0
2/22/2020,0
2/23/2020,0
2/24/2020,0
2/25/2020,0
2/26/2020,0
2/27/2020,0
2/28/2020,0
2/29/2020,0
3/1/2020,0
3/2/2020,0
3/3/2020,0
3/4/2020,0
3/5/2020,1
3/6/2020,1
3/7/2020,1
3/8/2020,2
3/9/2020,2
3/10/2020,5
3/11/2020,5
3/12/2020,8
3/13/2020,16
3/14/2020,16
3/15/2020,16
3/16/2020,35
3/17/2020,42
3/18/2020,42
3/19/2020,74
3/20/2020,126
3/21/2020,126
3/22/2020,126
3/23/2020,151
3/24/2020,249
3/25/2020,249
3/26/2020,350
3/27/2020,443
3/28/2020,528
3/29/2020,528
3/30/2020,753
3/31/2020,869
4/1/2020,961
4/2/2020,1125
4/3/2020,1279
4/4/2020,1418
4/5/2020,1519
4/6/2020,1608
4/7/2020,1734
4/8/2020,1878
4/9/2020,2009
4/10/2020,2144
4/11/2020,2144
4/12/2020,2144
4/13/2020,2144
4/14/2020,2144
4/15/2020,2144
4/16/2020,2625
4/17/2020,2738
4/18/2020,2882
4/19/2020,2940
4/20/2020,2998
4/21/2020,3099
4/22/2020,3218
4/23/2020,3314
4/24/2020,3443
4/25/2020,3570
4/26/2020,3665
4/27/2020,3717
4/28/2020,3793
4/29/2020,3891
4/30/2020,3979
5/1/2020,3979
5/2/2020,4225
5/3/2020,4274
5/4/2020,4274
5/5/2020,4299
5/6/2020,4350
5/7/2020,4416
5/8/2020,4416
5/9/2020,4704
5/10/2020,4750
5/11/2020,4762
5/12/2020,4869
5/13/2020,5045
5/14/2020,5144
5/15/2020,5235
5/16/2020,5298
5/17/2020,5366
5/18/2020,5366
5/19/2020,5536
5/20/2020,5536
5/21/2020,5815
5/22/2020,5815
5/23/2020,6048
5/24/2020,6140
5/25/2020,6182
5/26/2020,6226
5/27/2020,6287
5/28/2020,6352
5/29/2020,6457
5/30/2020,6579
5/31/2020,6657
6/1/2020,6719
6/2/2020,6719
6/3/2020,6845
6/4/2020,7056
6/5/2020,7186
6/6/2020,7331
6/7/2020,7483
6/8/2020,7592
6/9/2020,7799
6/10/2020,7915
6/11/2020,8100
6/12/2020,8314
6/13/2020,8556
6/14/2020,8735
6/15/2020,8815
6/16/2020,9157
6/17/2020,9318
6/18/2020,9535
6/19/2020,9852
6/20/2020,10259
6/21/2020,10486
6/22/2020,10774
6/23/2020,11186
6/24/2020,11481
6/25/2020,11878
6/26/2020,12203
6/27/2020,13174
6/28/2020,13910
6/29/2020,14607
6/30/2020,15095
7/1/2020,15604
7/2/2020,16180
7/3/2020,17028
7/4/2020,17707
7/5/2020,18442
7/6/2020,18818
7/7/2020,19654
7/8/2020,20126
7/9/2020,20622
7/10/2020,21449
7/11/2020,22286
7/12/2020,23048
7/13/2020,23803
7/14/2020,24824
7/15/2020,25611
7/16/2020,26926
7/17/2020,28189
7/18/2020,29304
7/19/2020,30432
7/20/2020,31312
7/21/2020,32025
7/22/2020,33057
7/23/2020,34209
7/24/2020,35000
7/25/2020,35786
7/26/2020,36593
7/27/2020,37492
7/28/2020,38534
7/29/2020,39345
7/30/2020,40193
