DATE,COVID_DELTA
2020-01-01,0
2020-01-02,0
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,1
2020-03-06,0
2020-03-07,0
2020-03-08,1
2020-03-09,0
2020-03-10,3
2020-03-11,0
2020-03-12,3
2020-03-13,8
2020-03-14,0
2020-03-15,0
2020-03-16,19
2020-03-17,7
2020-03-18,0
2020-03-19,32
2020-03-20,52
2020-03-21,0
2020-03-22,0
2020-03-23,25
2020-03-24,98
2020-03-25,0
2020-03-26,101
2020-03-27,93
2020-03-28,85
2020-03-29,0
2020-03-30,225
2020-03-31,116
2020-04-01,92
2020-04-02,164
2020-04-03,154
2020-04-04,139
2020-04-05,101
2020-04-06,89
2020-04-07,126
2020-04-08,144
2020-04-09,131
2020-04-10,135
2020-04-11,0
2020-04-12,0
2020-04-13,0
2020-04-14,0
2020-04-15,0
2020-04-16,481
2020-04-17,113
2020-04-18,144
2020-04-19,58
2020-04-20,58
2020-04-21,101
2020-04-22,119
2020-04-23,96
2020-04-24,129
2020-04-25,127
2020-04-26,95
2020-04-27,52
2020-04-28,76
2020-04-29,98
2020-04-30,88
2020-05-01,0
2020-05-02,246
2020-05-03,49
2020-05-04,0
2020-05-05,25
2020-05-06,51
2020-05-07,66
2020-05-08,0
2020-05-09,288
