,parameter_code,parameter_name,open_date,latitude,longitude,aqs_id
0,42602,Nitrogen dioxide (NO2),2008-01-01,36.270592,-115.238282,32-003-0075
1,81102,PM10 Total 0-10um STP,2001-01-01,36.270592,-115.238282,32-003-0075
2,61104,Wind Direction - Resultant,2011-04-01,36.270592,-115.238282,32-003-0075
3,44201,Ozone,2000-07-01,36.270592,-115.238282,32-003-0075
4,88101,PM2.5 - Local Conditions,2018-01-01,36.270592,-115.238282,32-003-0075
5,62101,Outdoor Temperature,2011-04-01,36.270592,-115.238282,32-003-0075
6,61103,Wind Speed - Resultant,2011-04-01,36.270592,-115.238282,32-003-0075
7,42101,Carbon monoxide,2019-06-01,36.270592,-115.238282,32-003-0075
0,44201,Ozone,1998-07-01,36.173415,-115.332728,32-003-0073
1,81102,PM10 Total 0-10um STP,1998-07-01,36.173415,-115.332728,32-003-0073
2,61104,Wind Direction - Resultant,2011-04-01,36.173415,-115.332728,32-003-0073
3,61103,Wind Speed - Resultant,2011-04-01,36.173415,-115.332728,32-003-0073
4,62101,Outdoor Temperature,2011-04-01,36.173415,-115.332728,32-003-0073
5,88101,PM2.5 - Local Conditions,2020-01-01,36.173415,-115.332728,32-003-0073
6,88101,PM2.5 - Local Conditions,2021-10-01,36.173415,-115.332728,32-003-0073
0,62101,Outdoor Temperature,2014-12-08,36.16976,-115.263038,32-003-0071
1,88101,PM2.5 - Local Conditions,2020-01-01,36.16976,-115.263038,32-003-0071
2,61103,Wind Speed - Resultant,2014-12-10,36.16976,-115.263038,32-003-0071
3,44201,Ozone,1998-08-01,36.16976,-115.263038,32-003-0071
4,81102,PM10 Total 0-10um STP,1995-07-01,36.16976,-115.263038,32-003-0071
5,61104,Wind Direction - Resultant,2014-12-10,36.16976,-115.263038,32-003-0071
0,61103,Wind Speed - Resultant,2021-06-01,36.214465,-115.091437,32-003-2003
1,62101,Outdoor Temperature,2021-06-01,36.214465,-115.091437,32-003-2003
2,88101,PM2.5 - Local Conditions,2021-06-01,36.214465,-115.091437,32-003-2003
3,81102,PM10 Total 0-10um STP,2021-06-01,36.214465,-115.091437,32-003-2003
4,42101,Carbon monoxide,2021-06-01,36.214465,-115.091437,32-003-2003
5,42602,Nitrogen dioxide (NO2),2021-06-01,36.214465,-115.091437,32-003-2003
6,61104,Wind Direction - Resultant,2021-06-01,36.214465,-115.091437,32-003-2003
7,44201,Ozone,2021-06-01,36.214465,-115.091437,32-003-2003
0,42602,Nitrogen dioxide (NO2),2016-07-01,36.174365,-115.13977,32-003-1502
1,42101,Carbon monoxide,2021-08-01,36.174365,-115.13977,32-003-1502
2,61103,Wind Speed - Resultant,2016-07-01,36.174365,-115.13977,32-003-1502
3,88101,PM2.5 - Local Conditions,2021-08-01,36.174365,-115.13977,32-003-1502
4,61104,Wind Direction - Resultant,2016-07-01,36.174365,-115.13977,32-003-1502
5,81102,PM10 Total 0-10um STP,2021-09-01,36.174365,-115.13977,32-003-1502
6,62101,Outdoor Temperature,2016-07-01,36.174365,-115.13977,32-003-1502
0,68109,Elapsed Sample Time,2004-04-14,36.163962,-115.11393,32-003-0561
1,68105,Average Ambient Temperature,2004-04-14,36.163962,-115.11393,32-003-0561
2,68102,Sample Volume,2004-04-14,36.163962,-115.11393,32-003-0561
3,61104,Wind Direction - Resultant,2011-04-01,36.163962,-115.11393,32-003-0561
4,62101,Outdoor Temperature,2011-04-01,36.163962,-115.11393,32-003-0561
5,68108,Average Ambient Pressure,2004-04-14,36.163962,-115.11393,32-003-0561
6,61103,Wind Speed - Resultant,2011-04-01,36.163962,-115.11393,32-003-0561
7,42101,Carbon monoxide,1996-10-01,36.163962,-115.11393,32-003-0561
8,81102,PM10 Total 0-10um STP,2004-04-17,36.163962,-115.11393,32-003-0561
9,42602,Nitrogen dioxide (NO2),2012-11-19,36.163962,-115.11393,32-003-0561
10,88101,PM2.5 - Local Conditions,2004-04-14,36.163962,-115.11393,32-003-0561
11,68101,Sample Flow Rate- CV,2004-04-14,36.163962,-115.11393,32-003-0561
12,88101,PM2.5 - Local Conditions,2012-10-03,36.163962,-115.11393,32-003-0561
0,62101,Outdoor Temperature,2015-08-01,36.139707,-115.175654,32-003-1501
1,61104,Wind Direction - Resultant,2015-08-01,36.139707,-115.175654,32-003-1501
2,61103,Wind Speed - Resultant,2015-08-01,36.139707,-115.175654,32-003-1501
3,42101,Carbon monoxide,2017-01-01,36.139707,-115.175654,32-003-1501
4,42602,Nitrogen dioxide (NO2),2015-08-01,36.139707,-115.175654,32-003-1501
5,88101,PM2.5 - Local Conditions,2017-01-01,36.139707,-115.175654,32-003-1501
0,68107,Sample Max Baro Pressure,2010-05-02,36.141875,-115.078742,32-003-0540
1,88110,Cadmium PM2.5 LC,2010-05-02,36.141875,-115.078742,32-003-0540
2,88118,Cesium PM2.5 LC,2010-05-02,36.141875,-115.078742,32-003-0540
3,88140,Magnesium PM2.5 LC,2010-05-02,36.141875,-115.078742,32-003-0540
4,88167,Zinc PM2.5 LC,2010-05-02,36.141875,-115.078742,32-003-0540
5,88303,Potassium Ion PM2.5 LC,2010-05-02,36.141875,-115.078742,32-003-0540
6,88306,Total Nitrate PM2.5 LC,2010-05-02,36.141875,-115.078742,32-003-0540
